商品名稱,,價格,商品類型,顯示菜單,狀態,開賣時間,稀有度,上市時間,代理商,熱賣,獎項1名稱,獎項1等級,獎項1數量,獎項1圖片名稱,獎項2名稱,獎項2等級,獎項2數量,獎項2圖片名稱,獎項3名稱,獎項3等級,獎項3數量,獎項3圖片名稱,獎項4名稱,獎項4等級,獎項4數量,獎項4圖片名稱,獎項5名稱,獎項5等級,獎項5數量,獎項5圖片名稱,獎項6名稱,獎項6等級,獎項6數量,獎項6圖片名稱,獎項7名稱,獎項7等級,獎項7數量,獎項7圖片名稱,獎項8名稱,獎項8等級,獎項8數量,獎項8圖片名稱,獎項9名稱,獎項9等級,獎項9數量,獎項9圖片名稱,獎項10名稱,獎項10等級,獎項10數量,獎項10圖片名稱,獎項11名稱,獎項11等級,獎項11數量,獎項11圖片名稱,獎項12名稱,獎項12等級,獎項12數量,獎項12圖片名稱,獎項13名稱,獎項13等級,獎項13數量,獎項13圖片名稱,獎項14名稱,獎項14等級,獎項14數量,獎項14圖片名稱,獎項15名稱,獎項15等級,獎項15數量,獎項15圖片名稱,獎項16名稱,獎項16等級,獎項16數量,獎項16圖片名稱,獎項17名稱,獎項17等級,獎項17數量,獎項17圖片名稱,獎項18名稱,獎項18等級,獎項18數量,獎項18圖片名稱,獎項19名稱,獎項19等級,獎項19數量,獎項19圖片名稱,獎項20名稱,獎項20等級,獎項20數量,獎項20圖片名稱
一番賞 FURYU賞《Minecraft麥塊》絨毛夥伴,,350.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 苦力怕 絨毛玩偶,A賞,7,prize_1.jpg,B賞 終界使者 絨毛玩偶,B賞,7,prize_2.jpg,C賞 殭屍 絨毛玩偶,C賞,6,prize_3.jpg,最後賞 儲物箱造型保冷袋,最後賞,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 潮玩賞 POPMART 400%大亂鬥,,249.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 MEGA SPACE MOLLY 400%,A賞,1,prize_1.jpg,A賞 MEGA ROYAL MOLLY 400%,B賞,1,prize_2.jpg,最後賞 POPMART 豪華大禮包,最後賞,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 潮玩賞 PlayStation Portal遙控遊玩機,,149.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 PlayStation Portal™ 遙控遊玩機,A賞,1,prize_1.jpg,D賞 隨機一番賞小賞,D賞,199,prize_2.jpg,最後賞 PlayStation 豪華配件包,最後賞,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 潮玩GK賞 間諜家家酒大亂鬥,,250.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 安妮亞 GK 模型,A賞,1,prize_1.jpg,B賞 洛伊德 GK 模型,B賞,1,prize_2.jpg,C賞 約兒 GK 模型,C賞,1,prize_3.jpg,最後賞 間諜家家酒 GK 大禮包,最後賞,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 UK工作室｜1/6 雙頭雕桃紅黑悟空,,499.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,桃紅黑悟空 1/6 模型,A賞,1,prize_1.jpg,D賞 隨機一番賞小賞,D賞,100,prize_2.jpg,最後賞 紀念金幣,最後賞,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 潮玩賞 吉伊卡哇大合集 Part2,,249.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 吉伊卡哇 大賞 模型,A賞,1,prize_1.jpg,B賞 小八貓 大賞 模型,B賞,1,prize_2.jpg,最後賞 吉伊卡哇 豪華大禮包,最後賞,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 寶可夢 Peace系列 ~歡迎光臨「PEACE」餐廳~,,310.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 小卡比獸 絨毛玩偶,A賞,1,prize_1.jpg,B賞 皮卡丘 絨毛玩偶,B賞,1,prize_2.jpg,C賞 木木梟 絨毛玩偶,C賞,1,prize_3.jpg,D賞 皮卡丘漢堡抱枕,D賞,1.0,prize_4.jpg,最後賞 波加曼 絨毛玩偶,最後賞,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 《七龍珠》 40周年 ~其之二~,,390.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 孫悟空 模型,A賞,2,prize_1.jpg,B賞 達爾 模型,B賞,2,prize_2.jpg,C賞 孫悟飯 模型,C賞,1,prize_3.jpg,最後賞 神龍 模型,最後賞,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 《七龍珠》DRAGONBALL SNAP COLLECTION2,,380.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 孫悟空 模型,A賞,2,prize_1.jpg,B賞 弗利沙 模型,B賞,2,prize_2.jpg,最後賞 Snap Collection 紀念插畫,最後賞,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 潮玩賞 《寶可夢傳說Z-A》x Nintendo Switch 2,,299.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 Nintendo Switch 2 主機,A賞,1,prize_1.jpg,B賞 《寶可夢傳說Z-A》 遊戲軟體,B賞,2,prize_2.jpg,最後賞 Switch 2 豪華配件組,最後賞,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 潮玩賞 MacBook Air 13吋 16GB/512GB,,149.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 MacBook Air 13吋 M3晶片,A賞,1,prize_1.jpg,D賞 隨機高品質扭蛋,D賞,200,prize_2.jpg,最後賞 Apple 精選禮包,最後賞,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盒玩 三麗鷗換裝中公仔,,350.0,盒玩,,上架,2024/03/06 12:00,5,2024-10,代理商,是,凱蒂貓 (Hello Kitty),盒玩,1,prize_1.jpg,美樂蒂 (My Melody),盒玩,1,prize_2.jpg,酷洛米 (Kuromi),盒玩,1,prize_3.jpg,布丁狗 (Pompompurin),盒玩,1.0,prize_4.jpg,大耳狗 (Cinnamoroll),盒玩,1.0,prize_5.jpg,帕恰狗 (Pochacco),盒玩,1.0,prize_6.jpg,隱藏版美樂蒂,隱藏賞,1.0,prize_7.jpg,隱藏版酷洛米,隱藏賞,1.0,prize_8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 我的英雄學院睡眠公仔P4,,120.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,緑谷出久 (幼少期),轉蛋,1,prize_1.jpg,爆豪勝己 (幼少期),轉蛋,1,prize_2.jpg,飯田天哉,轉蛋,1,prize_3.jpg,上鳴電気,轉蛋,1.0,prize_4.jpg,耳郎響香,轉蛋,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 迪士尼麵包吊飾,,120.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,唐老鴨螺絲捲,轉蛋,1,prize_1.jpg,黛西螺絲捲,轉蛋,1,prize_2.jpg,小熊維尼三明治,轉蛋,1,prize_3.jpg,小豬三明治,轉蛋,1.0,prize_4.jpg,杯麵馬卡龍,轉蛋,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 動物愛好系列-柴犬的日常P2,,120.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,站立柴犬,轉蛋,1,prize_1.jpg,坐姿柴犬,轉蛋,1,prize_2.jpg,趴睡柴犬,轉蛋,1,prize_3.jpg,回頭柴犬,轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 轉生史萊姆抬頭看公仔,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,利姆路,轉蛋,1,prize_1.jpg,紅丸,轉蛋,1,prize_2.jpg,蜜莉姆,轉蛋,1,prize_3.jpg,朱菜,轉蛋,1.0,prize_4.jpg,迪亞布羅,轉蛋,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 燒燙燙地瓜吊飾P2,,100.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,安納芋,轉蛋,1,prize_1.jpg,紅天使,轉蛋,1,prize_2.jpg,鳴門金時,轉蛋,1,prize_3.jpg,絲綢地瓜,轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 搖曳露營第三季公仔RICH,,200.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,斉藤恵那,轉蛋,1,prize_1.jpg,犬山あおい,轉蛋,1,prize_2.jpg,志摩リン,轉蛋,1,prize_3.jpg,各務原なでしこ,轉蛋,1.0,prize_4.jpg,土岐綾乃,轉蛋,1.0,prize_5.jpg,大垣千明,轉蛋,1.0,prize_6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 情境小物包鉤環 證件快拍&拍貼機,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,證件快拍 (紅),轉蛋,1,prize_1.jpg,證件快拍 (藍),轉蛋,1,prize_2.jpg,拍貼機 (粉),轉蛋,1,prize_3.jpg,拍貼機 (綠),轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 拉繩震動狗狗絨毛吊飾,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,柴犬,轉蛋,1,prize_1.jpg,貴賓犬,轉蛋,1,prize_2.jpg,柯基,轉蛋,1,prize_3.jpg,比熊犬,轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 初音未來回頭公仔,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,初音未來,轉蛋,1,prize_1.jpg,鏡音鈴,轉蛋,1,prize_2.jpg,鏡音連,轉蛋,1,prize_3.jpg,初音未來 (閉眼版),轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 哥布林可動人型公仔P2,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,長槍半獸人,轉蛋,1,prize_1.jpg,長槍高階哥布林,轉蛋,1,prize_2.jpg,配刀半獸人,轉蛋,1,prize_3.jpg,配刀高階哥布林,轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 拉伸進擊的巨人,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,艾連·葉卡,轉蛋,1,prize_1.jpg,里維·阿卡曼,轉蛋,1,prize_2.jpg,米卡莎·阿卡曼,轉蛋,1,prize_3.jpg,超大型巨人,轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 「拒絕空氣賞！一抽入魂 iPhone 17，保底價值 150 元精選扭蛋等你拿。」,,,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,iPhone 17 256G,A賞,1,prize_1.jpg,AirPods Pro 3,B賞,1,prize_2.jpg,HomePod mini,C賞,2,prize_3.jpg,隨機高品質扭蛋,D賞,3996.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 七龍珠 EX 激闘!!天下第一武道會,,360.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 孫悟空 模型,A賞,2,prize_1.jpg,B賞 琪琪 模型,B賞,2,prize_2.jpg,C賞 傑克艾 模型,C賞,1,prize_3.jpg,最後賞 孫悟空 模型,最後賞,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 Takuan與好友絨毛玩偶吊飾,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,澤庵宗彭,轉蛋,1,prize_1.jpg,蘿蔔,轉蛋,1,prize_2.jpg,茄子,轉蛋,1,prize_3.jpg,黃瓜,轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 BUILD WIZARDS公仔,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,法師 A,轉蛋,1,prize_1.jpg,法師 B,轉蛋,1,prize_2.jpg,隱藏法師,隱藏賞,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 米飛兔POINT AT公仔,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,米飛 (紅),轉蛋,1,prize_1.jpg,米飛 (藍),轉蛋,1,prize_2.jpg,米飛 (黃),轉蛋,1,prize_3.jpg,米飛 (綠),轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 暴走行李箱迴力車,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,行李箱 (紅),轉蛋,1,prize_1.jpg,行李箱 (藍),轉蛋,1,prize_2.jpg,行李箱 (銀),轉蛋,1,prize_3.jpg,行李箱 (黃),轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 貓咪交響樂團,,120.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,指揮貓,轉蛋,1,prize_1.jpg,提琴貓,轉蛋,1,prize_2.jpg,笛手貓,轉蛋,1,prize_3.jpg,鼓手貓,轉蛋,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 CLOCKWORK-CRYPTID3.0【龍種‧四腳型】,,200.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,龍種 A,轉蛋,1,prize_1.jpg,龍種 B,轉蛋,1,prize_2.jpg,龍種 C,轉蛋,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 從零開始的異世界生活發條玩偶公仔,,200.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,愛蜜莉雅,轉蛋,1,prize_1.jpg,蕾姆,轉蛋,1,prize_2.jpg,拉姆,轉蛋,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 汽車鑰匙模型NEO P2,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,汽車鑰匙 A,轉蛋,1,prize_1.jpg,汽車鑰匙 B,轉蛋,1,prize_2.jpg,汽車鑰匙 C,轉蛋,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 今日也是好心情公仔,,100.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,款式 A,轉蛋,1,prize_1.jpg,款式 B,轉蛋,1,prize_2.jpg,款式 C,轉蛋,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 水族館生物絨毛玩偶P3,,200.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,企鵝寶寶,轉蛋,1,prize_1.jpg,海龜(綠色),轉蛋,1,prize_2.jpg,海獺,轉蛋,1,prize_3.jpg,鬼蝠魟,轉蛋,1.0,prize_4.jpg,鯊魚,轉蛋,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 神椿市建設中睡眠公仔,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,花譜,轉蛋,1,prize_1.jpg,理芽,轉蛋,1,prize_2.jpg,春猿火,轉蛋,1,prize_3.jpg,幸祜,轉蛋,1.0,prize_4.jpg,可不,轉蛋,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 Chokorin Collection 防風少年 Vol.2,,260.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,櫻遙,轉蛋,1,prize_1.jpg,蘇枋隼飛,轉蛋,1,prize_2.jpg,杉下京太郎,轉蛋,1,prize_3.jpg,梶蓮,轉蛋,1.0,prize_4.jpg,梅宮一,轉蛋,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 Sandman人物公仔-歸來,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,角色 A,轉蛋,1,prize_1.jpg,角色 B,轉蛋,1,prize_2.jpg,角色 C,轉蛋,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 Cassette Playar Boy公仔,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,款式 A,轉蛋,1,prize_1.jpg,款式 B,轉蛋,1,prize_2.jpg,款式 C,轉蛋,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 謊言偵測機模型-EX篇,,150.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,偵測機 (黑),轉蛋,1,prize_1.jpg,偵測機 (白),轉蛋,1,prize_2.jpg,偵測機 (紅),轉蛋,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
